date,abstra,title,ul,cw,rsw,kw,label
2021/1/4 17:06:34,青海省原副省长，海西州委原书记，柴达木循环经济试验区党工委原书记文国栋被双开　政知君注意到，胡问鸣曾有过中国船舶重工集团公司、中航工业、中国兵器、中国船舶工业集团公司的工作经验，涵盖了海陆空三军装备建造。,首艘国产航母研制总指挥被处理,http://ocean.china.com.cn/2021-01/04/content_77078995.htm,"['青海省', '原', '副省长', '，', '海西州委', '原', '书记', '，', '柴达木循环经济试验区党工委', '原', '书记', '文国栋', '被', '双开', '政知', '君', '注意', '到', '，', '胡问鸣', '曾', '有', '过', '中国船舶重工集团公司', '、', '中航工业', '、', '中国', '兵器', '、', '中国船舶工业集团公司', '的', '工作', '经验', '，', '涵盖', '了', '海陆空', '三军', '装备', '建造', '。']","['青海省', '原', '副省长', '海西州委', '原', '书记', '柴达木循环经济试验区党工委', '原', '书记', '文国栋', '双开', '政知', '君', '胡问鸣', '中国船舶重工集团公司', '中航工业', '中国', '兵器', '中国船舶工业集团公司', '工作', '经验', '涵盖', '海陆空', '三军', '装备', '建造']","['原', '中国', '集团公司', '装备', '书记']",其它
2020/12/30 10:46:54,回顾2020，从抗疫到抗洪，从戍边到维和……中国军人的身影，出现在每一处需要他们的地方。,2020，中国军人的那些温暖面孔,http://news.china.com.cn/2020-12/30/content_77064343.htm,"['回顾', '2020', '，', '从', '抗疫', '到', '抗洪', '，', '从', '戍边', '到', '维和', '……', '中国', '军人', '的', '身影', '，', '出现', '在', '每', '一', '处', '需要', '他们', '的', '地方', '。']","['回顾', '2020', '抗疫', '抗洪', '戍边', '维和', '中国', '军人', '身影', '处', '地方']","['需要', '军人', '维和', '2020', '处']",其它
2020/12/22 7:14:52,nan,一切为了打胜仗——2020年全军军事训练回眸[组图],http://photo.china.com.cn/2020-12/22/content_77037250.htm,['nan'],['nan'],['nan'],其它
2020/12/22 6:25:00,飞行学员驾驶歼-15舰载战斗机在辽宁舰成功实施阻拦着舰。,一切为了打胜仗——2020年全军军事训练回眸,http://military.china.com.cn/2020-12/22/content_77037156.htm,"['飞行', '学员', '驾驶', '歼', '-', '15舰', '载', '战斗机', '在', '辽宁舰', '成功', '实施', '阻拦', '着', '舰', '。']","['飞行', '学员', '驾驶', '歼', '15舰', '载', '战斗机', '辽宁舰', '成功', '实施', '阻拦', '舰']","['阻拦', '学员', '实施', '成功', '辽宁舰']",其它
2020/12/18 10:56:04,一年前的12月17日，我国第一艘国产航空母舰“中国人民解放军海军山东舰”正式交付海军，舷号为“17”。航母，是一个国家综合国力和海军实力的象征，建设一支拥有航母的强大海军，寄托着中华民族向海图强的历史夙愿。山东舰，生日快乐，继续乘风破浪吧！,山东舰，生日快乐,http://ocean.china.com.cn/2020-12/18/content_77025747.htm,"['一年', '前', '的', '12月17日', '，', '我国', '第一艘', '国产', '航空母舰', '“', '中国人民解放军海军山东舰', '”', '正式', '交付', '海军', '，', '舷号', '为', '“', '17', '”', '。', '航母', '，', '是', '一个', '国家', '综合', '国力', '和', '海军', '实力', '的', '象征', '，', '建设', '一', '支', '拥有', '航母', '的', '强大', '海军', '，', '寄托', '着', '中华民族', '向', '海图', '强', '的', '历史', '夙愿', '。', '山东舰', '，', '生日', '快乐', '，', '继续', '乘风破浪', '吧', '！']","['一年', '前', '12月17日', '我国', '第一艘', '国产', '航空母舰', '中国人民解放军海军山东舰', '正式', '交付', '海军', '舷号', '17', '航母', '国家', '综合', '国力', '海军', '实力', '象征', '建设', '支', '拥有', '航母', '强大', '海军', '寄托', '中华民族', '海图', '强', '历史', '夙愿', '山东舰', '生日', '快乐', '乘风破浪']","['海军', '舰', '继续', '历史', '航母']",其它
2020/11/8 13:08:19,智能化代表先进战斗力，是未来军队建设和战争的发展方向，是加快“三化”融合发展的龙头，要以智能化“化”出来的方向优势，谋取军队建设和未来作战的代差胜势。,加快机械化信息化智能化融合发展——学习贯彻党的十九届五中全会精神,http://news.china.com.cn/2020-11/08/content_76888051.htm,"['智能化', '代表', '先进', '战斗力', '，', '是', '未来', '军队', '建设', '和', '战争', '的', '发展', '方向', '，', '是', '加快', '“', '三化', '”', '融合', '发展', '的', '龙头', '，', '要', '以', '智能化', '“', '化', '”', '出来', '的', '方向', '优势', '，', '谋取', '军队', '建设', '和', '未来', '作战', '的', '代', '差', '胜势', '。']","['智能化', '代表', '先进', '战斗力', '未来', '军队', '建设', '战争', '发展', '方向', '加快', '三化', '融合', '发展', '龙头', '智能化', '化', '方向', '优势', '谋取', '军队', '建设', '未来', '作战', '代', '差', '胜势']","['化', '方向', '发展', '代差', '未来']",其它
2020/11/8 5:30:40,飞行学员驾驶歼-15舰载战斗机在辽宁舰滑跃起飞。,首批从高中招收的舰载战斗机飞行员成功完成航母资质认证,http://military.china.com.cn/2020-11/08/content_76884798.htm,"['飞行', '学员', '驾驶', '歼', '-', '15舰', '载', '战斗机', '在', '辽宁舰', '滑跃', '起飞', '。']","['飞行', '学员', '驾驶', '歼', '15舰', '载', '战斗机', '辽宁舰', '滑跃', '起飞']","['跃', '学员', '滑', '辽宁舰', '战斗机']",其它
2020/11/7 8:26:05,飞行学员驾驶歼-15舰载战斗机在辽宁舰滑跃起飞（资料照片）。飞行学员驾驶歼-15舰载战斗机在辽宁舰成功实施阻拦着舰（资料照片）。首位驾驶歼-15舰载战斗机在辽宁舰成功阻拦着舰的飞行学员接受祝贺（资料照片）。,首批从高中招收的舰载战斗机飞行员成功完成航母资质认证[组图],http://photo.china.com.cn/2020-11/07/content_76885558.htm,"['飞行', '学员', '驾驶', '歼', '-', '15舰', '载', '战斗机', '在', '辽宁舰', '滑跃', '起飞', '（', '资料', '照片', '）', '。', '飞行', '学员', '驾驶', '歼', '-', '15舰', '载', '战斗机', '在', '辽宁舰', '成功', '实施', '阻拦', '着', '舰', '（', '资料', '照片', '）', '。', '首位', '驾驶', '歼', '-', '15舰', '载', '战斗机', '在', '辽宁舰', '成功', '阻拦', '着', '舰', '的', '飞行', '学员', '接受', '祝贺', '（', '资料', '照片', '）', '。']","['飞行', '学员', '驾驶', '歼', '15舰', '载', '战斗机', '辽宁舰', '滑跃', '起飞', '资料', '照片', '飞行', '学员', '驾驶', '歼', '15舰', '载', '战斗机', '辽宁舰', '成功', '实施', '阻拦', '舰', '资料', '照片', '首位', '驾驶', '歼', '15舰', '载', '战斗机', '辽宁舰', '成功', '阻拦', '舰', '飞行', '学员', '接受', '祝贺', '资料', '照片']","['驾驶', '（', '学员', '照片', '辽宁舰']",其它
2020/10/30 19:40:14,我国首艘国产航母山东舰于去年12月17日正式入列人民海军，至今已有10个月。近日，山东舰训练的最新视频在媒体公开，这是时隔5个月，有关山东舰海上试验训练的内容再度曝光。香港媒体称，9月1日至23日间，首艘国产航母山东舰在渤海海域开展训练。,山东舰海上试验训练再曝光：展示舰载机起降全程细节,http://news.china.com.cn/2020-10/30/content_76861248.htm,"['我国', '首艘', '国产', '航母', '山东', '舰', '于', '去年12月17日', '正式', '入列', '人民', '海军', '，', '至今', '已', '有', '10个月', '。', '近日', '，', '山东舰训练', '的', '最新', '视频', '在', '媒体', '公开', '，', '这是', '时隔', '5个月', '，', '有关', '山东', '舰', '海上', '试验', '训练', '的', '内容', '再度', '曝光', '。', '香港', '媒体', '称', '，', '9月1日', '至', '23日', '间', '，', '首艘', '国产', '航母', '山东', '舰', '在', '渤海', '海域', '开展', '训练', '。']","['我国', '首艘', '国产', '航母', '山东', '舰', '去年12月17日', '正式', '入列', '人民', '海军', '10个月', '近日', '山东舰训练', '最新', '视频', '媒体', '公开', '这是', '时隔', '5个月', '山东', '舰', '海上', '试验', '训练', '内容', '再度', '曝光', '香港', '媒体', '称', '9月1日', '23日', '间', '首艘', '国产', '航母', '山东', '舰', '渤海', '海域', '训练']","['月', '媒体', '舰', '山东', '训练']",训练
2020/10/16 9:48:59,人民军队历经硝烟战火，一路披荆斩棘，之所以能打仗、打胜仗，就在于有无数个像“杨根思连”这样的刀尖铁拳。,锻造过硬顶用的“刀尖子” 把战斗力建设强到基层,http://news.china.com.cn/2020-10/16/content_76812019.htm,"['人民军队', '历经', '硝烟', '战火', '，', '一路', '披荆斩棘', '，', '之所以', '能', '打仗', '、', '打胜仗', '，', '就', '在于', '有', '无数', '个', '像', '“', '杨根思', '连', '”', '这样', '的', '刀尖', '铁拳', '。']","['人民军队', '历经', '硝烟', '战火', '一路', '披荆斩棘', '打仗', '打胜仗', '无数', '杨根思', '刀尖', '铁拳']","['刀尖', '历经', '杨根思', '无数', '在于']",其它
2020/9/25 10:42:04,今天是9月25日，辽宁舰8周岁生日。2012年9月25日，中国第一艘航空母舰辽宁舰交付海军。去年12月17日，我国第一艘国产航空母舰山东舰交付海军，双航母一起守卫祖国海疆。,辽宁舰8周岁 60秒回顾中国第一艘航空母舰交付海军 重温圆梦时刻,http://news.china.com.cn/2020-09/25/content_76739972.htm,"['今天', '是', '9月25日', '，', '辽宁舰', '8周岁', '生日', '。', '2012年9月25日', '，', '中国', '第一艘', '航空母舰', '辽宁舰交付海军', '。', '去年12月17日', '，', '我国', '第一艘', '国产', '航空母舰', '山东舰交付海军', '，', '双', '航母', '一起', '守卫', '祖国', '海疆', '。']","['9月25日', '辽宁舰', '8周岁', '生日', '2012年9月25日', '中国', '第一艘', '航空母舰', '辽宁舰交付海军', '去年12月17日', '我国', '第一艘', '国产', '航空母舰', '山东舰交付海军', '双', '航母', '守卫', '祖国', '海疆']","['日', '月', '9', '第一艘', '祖国']",其它
2020/9/24 19:35:15,党的十八大以来，习近平总书记牵挂新疆各族儿女，送来深情关怀，温暖着生活在这片土地上的人民。,旗引天山南北 谱写发展新篇——以习近平同志为核心的党中央关心新疆工作纪实,http://news.china.com.cn/2020-09/24/content_76737738.htm,"['党', '的', '十八大', '以来', '，', '习近平', '总书记', '牵挂', '新疆', '各族', '儿女', '，', '送', '来', '深情', '关怀', '，', '温暖', '着', '生活', '在', '这', '片', '土地', '上', '的', '人民', '。']","['党', '十八大', '习近平', '总书记', '牵挂', '新疆', '各族', '儿女', '送', '深情', '关怀', '温暖', '生活', '片', '土地', '人民']","['上', '十八大', '土地', '片', '生活']",其它
2020/9/24 19:27:11,国防部新闻局副局长、国防部新闻发言人谭克非24日在国防部例行记者会上表示，辽宁舰和山东舰已分别完成例行训练和海上试验活动。,辽宁舰和山东舰分别完成例行训练和海上试验活动,http://news.china.com.cn/2020-09/24/content_76737722.htm,"['国防部新闻局', '副', '局长', '、', '国防部', '新闻发言人', '谭克非', '24日', '在', '国防部', '例行', '记者', '会上', '表示', '，', '辽宁舰', '和', '山东舰', '已', '分别', '完成', '例行', '训练', '和', '海上', '试验', '活动', '。']","['国防部新闻局', '副', '局长', '国防部', '新闻发言人', '谭克非', '24日', '国防部', '例行', '记者', '会上', '辽宁舰', '山东舰', '例行', '训练', '海上', '试验', '活动']","['国防部', '例行', '试验', '海上', '分别']",试验
2020/9/24 18:30:08,国防部新闻局副局长、新闻发言人谭克非就今年征兵工作、西藏军区多场实兵实弹演练、解放军军机近日接连在台湾附近空域进行演习等热点答记者问。,国防部就西藏军区多场实兵实弹演练等热点答问实录,http://news.china.com.cn/2020-09/24/content_76737569.htm,"['国防部新闻局', '副', '局长', '、', '新闻发言人', '谭克非', '就', '今年', '征兵', '工作', '、', '西藏军区多场', '实兵', '实弹', '演练', '、', '解放军军机', '近日', '接连', '在', '台湾', '附近', '空域', '进行', '演习', '等', '热点', '答', '记者', '问', '。']","['国防部新闻局', '副', '局长', '新闻发言人', '谭克非', '征兵', '工作', '西藏军区多场', '实兵', '实弹', '演练', '解放军军机', '近日', '接连', '台湾', '空域', '演习', '热点', '答', '记者', '问']","['记者', '新闻局', '答', '热点', '演习']",演习
2020/9/24 16:12:29,中国海军辽宁舰和山东舰已分别完成例行训练和海上试验。上述活动的目的是检验武器装备性能和部队训练水平，提升履行使命任务的能力。,国防部：辽宁舰和山东舰已分别完成例行训练和海上试验活动,http://military.china.com.cn/2020-09/24/content_76737222.htm,"['中国海军辽宁舰', '和', '山东舰', '已', '分别', '完成', '例行', '训练', '和', '海上', '试验', '。', '上述', '活动', '的', '目的', '是', '检验', '武器', '装备', '性能', '和', '部队', '训练', '水平', '，', '提升', '履行', '使命', '任务', '的', '能力', '。']","['中国海军辽宁舰', '山东舰', '例行', '训练', '海上', '试验', '活动', '目的', '检验', '武器', '装备', '性能', '部队', '训练', '水平', '提升', '履行', '使命', '能力']","['训练', '任务', '活动', '辽宁舰', '海上']",训练
